site,CowTagID,PlateID,Top_Bottom,Placement,tile,group,total_weight,boat_weight,notes
Cabral,C16,C16,Top,B,C16TB,GFIL,0.809,0.627,
Varari,V1,V21,Bottom,B,V21BB,GFIL,0.983,0.614,
Cabral,C12,C12,Top,B,C12TB,SAND,0.797,0.674,
Varari,V14,V34,Bottom,B,V34BB,CCA,0.961,0.706,
Varari,V20,V40,Bottom,B,V40BB,CCA,0.789,0.644,
Cabral,C11,C31,Bottom,A,C31BA,GFIL,0.858,0.689,
Cabral,C9,C29,Bottom,A,C29BA,SAND,0.941,0.7,
Varari,V4,V24,Bottom,A,V24BA,CCA,0.763,0.716,
Cabral,C1,C21,Bottom,A,C21BA,CCA,0.734,0.71,
Cabral,C3,C23,Bottom,A,C23BB,SAND ,0.722,0.59,
Cabral,C1,C31,Bottom,A,C31BA,SAND,0.883,0.668,
Varari,V4,V4,Top,A,V4TA,CCA,0.716,0.711,CYO
Varari,V15,V35,Bottom,B,V35BB,GFIL,1.079,0.697,
Varari,V4,V4,Top,A,V4TA,GFIL,0.748,0.57,
Varari,V4,V24,Bottom,A,V24BA,RMUC,0.642,0.635,
Cabral,C16,C16,Top,B,C16TB,RFIL,0.79,0.637,
Cabral,C10,C30,Bottom,B,C30BB,RFIL,0.713,0.657,
Cabral,C14,C34,Bottom,B,C34BB,CCA,0.713,0.667,
Varari,V8,V8,Top,A,V8TA,CCA,0.677,0.655,
Cabral,C10,C30,Bottom,B,C30BB,GFIL,0.823,0.688,
Cabral,C3,C23,Bottom,B,C23BB,CCA,0.671,0.626,
Cabral,C16,C16,Top,B,C16TB,SAND,0.92,0.621,
Cabral,C14,C34,Bottom,B,C34BB,RCOR,0.673,0.671,
Cabral,C20,C40,Bottom,A,C40BA,CCA,0.651,0.592,
Varari,V13,V33,Bottom,B,V33BB,CCA,0.685,0.666,
Varari,V8,V28,Bottom,B,V28BB,RMUC,0.689,0.681,
Cabral,C11,C31,Bottom,A,C31BA,RFIL,0.751,0.642,
Varari,V12,V32,Bottom,A,V32BA,RMUC,0.724,0.663,
Cabral,C4,C24,Bottom,A,C24BA,CCA,0.814,0.714,
Varari,V13,V33,Bottom,B,V33BB,GFIL,0.778,0.67,
Varari,V8,V28,Bottom,B,V28BB,CCA,0.756,0.694,
Varari,V17,V37,Bottom,A,V37BA,CCA,0.782,0.622,
Cabral,C5,C25,Bottom,A,C25BA,SAND,0.676,0.629,
Cabral,C9,C29,Bottom,A,C29BA,GFIL,0.772,0.619,
Varari,V8,V28,Bottom,B,V28BB,GFIL,0.739,0.676,
Cabral,C7,C27,Bottom,B,C27BB,GFIL,0.775,0.668,
Cabral,C14,C34,Bottom,B,C34BB,GFIL,0.716,0.636,
Cabral,C10,C30,Bottom,B,C30BB,CCA,0.72,0.658,
Cabral,C9,C29,Bottom,A,C29BA,RFIL,0.869,0.692,
Cabral,C1,C21,Bottom,A,C21BA,GFIL,0.919,0.673,
Cabral,C4,C24,Bottom,A,C24BA,RFIL,0.71,0.653,
Cabral,C2,C22,Bottom,A,C22BA,GFIL,0.915,0.678,
Varari,V12,V32,Bottom,A,V32BA,GFIL,1.012,0.673,
Cabral,C15,C35,Bottom,A,C35BA,RFIL,0.743,0.69,
Cabral,C5,C25,Bottom,A,C25BA,GFIL,0.731,0.632,
Cabral,C4,C24,Bottom,A,C24BA,SAND,0.73,0.673,
Cabral,C2,C22,Bottom,A,C22BA,RMUC,0.629,0.621,
Cabral,C5,C25,Bottom,A,C25BA,RCOR,0.672,0.667,
Varari,V13,V33,Bottom,B,V33BB,RMUC,0.668,0.655,
Varari,V10,V30,Bottom,A,V30BA,CCA,0.702,0.648,
Varari,V12,V32,Bottom,A,V32BA,CCA,0.738,0.691,
Cabral,C3,C23,Bottom,B,C23BB,GFIL,0.841,0.705,
Cabral,C5,C25,Bottom,A,C25BA,RFIL,0.714,0.633,
Cabral,C11,C31,Bottom,A,C31BA,RCOR,0.68,0.676,
Cabral,C1,C21,Bottom,A,C21BA,SAND,0.813,0.66,
Varari,V10,V30,Bottom,A,V30BA,GFIL,1.063,0.667,
