Date,LoggerID,TempInSitu,ECond.mS.cm,Salinity_psu
2022-06-15 08:16:00,20739323,26.28,53492.829356238035,34.33211406330036
2022-06-15 08:20:00,20739323,26.26,53487.329356238035,34.34307260706342
2022-06-15 08:24:00,20739323,26.28,53484.62935623803,34.326194710714574
2022-06-15 08:28:00,20739323,26.28,53501.02935623803,34.33803357866036
2022-06-15 08:32:00,20739323,26.290000000000003,53490.02935623803,34.32263200431589
2022-06-15 08:36:00,20739323,26.28,53473.62935623803,34.31825437142136
2022-06-15 08:40:00,20739323,26.28,53468.12935623803,34.3142843116208
2022-06-15 08:44:00,20739323,26.300000000000004,53481.829356238035,34.30925726122596
2022-06-15 08:48:00,20739323,26.300000000000004,53465.42935623803,34.29742444093612
2022-06-15 08:52:00,20739323,26.340000000000003,53481.829356238035,34.279457253223995
2022-06-15 08:56:00,20739323,26.340000000000003,53470.92935623803,34.27159970219889
2022-06-15 09:00:00,20739323,26.390000000000004,53462.72935623804,34.22851483634716
2022-06-15 09:04:00,20739323,26.390000000000004,53481.829356238035,34.24226803772459
2022-06-15 09:08:00,20739323,26.390000000000004,53465.42935623803,34.23045895276913
2022-06-15 09:12:00,20739323,26.400000000000002,53285.92935623803,34.09385117224141
2022-06-15 09:16:00,20739323,26.480000000000004,53229.22935623804,33.994044586424714
2022-06-15 09:20:00,20739323,26.46,53231.92935623803,34.010722484115554
2022-06-15 09:24:00,20739323,26.480000000000004,52956.02935623803,33.797966999634824
2022-06-15 09:28:00,20739323,26.490000000000002,53215.72935623804,33.97698831901556
2022-06-15 09:32:00,20739323,26.500000000000004,53231.92935623803,33.981254777338904
2022-06-15 09:36:00,20739323,26.500000000000004,53318.42935623803,34.043346796097396
2022-06-15 09:40:00,20739323,26.500000000000004,53318.42935623803,34.043346796097396
2022-06-15 09:44:00,20739323,26.51,53304.92935623803,34.02628303581933
2022-06-15 09:48:00,20739323,26.53,53288.62935623803,33.99985360041812
2022-06-15 09:52:00,20739323,26.560000000000002,53359.12935623803,34.02832521262846
2022-06-15 09:56:00,20739323,26.580000000000002,53351.02935623803,34.00779316011458
2022-06-15 10:00:00,20739323,26.590000000000003,53364.62935623803,34.01018084969147
2022-06-15 10:04:00,20739323,26.610000000000003,53380.92935623803,34.00714444982764
2022-06-15 10:08:00,20739323,26.650000000000002,53389.12935623803,33.98361032736571
2022-06-15 10:12:00,20739323,26.660000000000004,53394.52935623803,33.98012896480808
2022-06-15 10:16:00,20739323,26.680000000000003,53353.72935623804,33.93626439208677
2022-06-15 10:20:00,20739323,26.720000000000002,53413.62935623803,33.949756829612596
2022-06-15 10:24:00,20739323,26.700000000000003,53405.42935623803,33.958563453314405
2022-06-15 10:28:00,20739323,26.750000000000004,53419.02935623803,33.9316293123013
2022-06-15 10:32:00,20739323,26.750000000000004,53424.52935623803,33.935557422420864
2022-06-15 10:36:00,20739323,26.790000000000003,53408.12935623803,33.894573059742065
2022-06-15 10:40:00,20739323,26.790000000000003,53484.62935623803,33.94916556089687
2022-06-15 10:44:00,20739323,26.800000000000004,53443.62935623803,33.9125881774681
2022-06-15 10:48:00,20739323,26.840000000000003,53427.22935623804,33.87165677227946
2022-06-15 10:52:00,20739323,26.85,53438.12935623803,33.872123483611205
2022-06-15 10:56:00,20739323,26.890000000000004,53465.42935623803,33.86237765606039
2022-06-15 11:00:00,20739323,26.92,53473.62935623803,33.84633891710871
2022-06-15 11:04:00,20739323,26.950000000000003,53449.02935623803,33.806990529467086
2022-06-15 11:08:00,20739323,26.990000000000002,53454.52935623803,33.78181129232602
2022-06-15 11:12:00,20739323,27.020000000000003,53462.72935623804,33.765843284002514
2022-06-15 11:16:00,20739323,27.03,53481.829356238035,33.77214308274493
2022-06-15 11:20:00,20739323,27.080000000000002,53473.62935623803,33.73005492713242
2022-06-15 11:24:00,20739323,27.130000000000003,53476.329356238035,33.69576589190029
2022-06-15 11:28:00,20739323,27.17,53462.72935623804,33.65722485674708
2022-06-15 11:32:00,20739323,27.21,53490.02935623803,33.64766281181358
2022-06-15 11:36:00,20739323,27.240000000000002,53481.829356238035,33.620233078634485
2022-06-15 11:40:00,20739323,27.28,53536.62935623803,33.630121689009435
2022-06-15 11:44:00,20739323,27.320000000000004,53517.42935623803,33.587777630701304
2022-06-15 11:48:00,20739323,27.340000000000003,53553.12935623803,33.598576581993264
2022-06-15 11:52:00,20739323,27.340000000000003,53553.12935623803,33.598576581993264
2022-06-15 11:56:00,20739323,27.390000000000004,53566.829356238035,33.572301778001204
2022-06-15 12:00:00,20739323,27.430000000000003,53586.02935623803,33.55711382629235
2022-06-15 12:04:00,20739323,27.430000000000003,53575.02935623803,33.54937050040549
2022-06-15 12:08:00,20739323,27.470000000000002,53547.62935623803,33.501433398915765
2022-06-15 12:12:00,20739323,27.44,53583.329356238035,33.548041197457316
2022-06-15 12:16:00,20739323,27.46,53566.829356238035,33.52209783598879
2022-06-15 12:20:00,20739323,27.53,53572.329356238035,33.475882702152376
2022-06-15 12:24:00,20739323,27.570000000000004,53613.62935623803,33.476304268768985
2022-06-15 12:28:00,20739323,27.630000000000003,53605.329356238035,33.42768034478281
2022-06-15 12:32:00,20739323,27.67,53635.62935623803,33.42041920190147
2022-06-15 12:36:00,20739323,27.720000000000002,53643.92935623803,33.390658303411676
2022-06-15 12:40:00,20739323,27.730000000000004,53624.62935623803,33.37005167845804
2022-06-15 12:44:00,20739323,27.730000000000004,53641.12935623803,33.38159259073876
2022-06-15 12:48:00,20739323,27.78,53632.92935623803,33.34036751984226
