Date,LoggerID,TempInSitu,ECond.mS.cm,Salinity_psu
2022-06-15 08:16:00,20739320,26.61,53661.72935623804,34.20838342775151
2022-06-15 08:20:00,20739320,26.62,53657.72935623804,34.19811666920588
2022-06-15 08:24:00,20739320,26.64,53657.72935623804,34.183327137004966
2022-06-15 08:28:00,20739320,26.64,53649.62935623803,34.17752346963348
2022-06-15 08:32:00,20739320,26.65,53653.62935623803,34.17299935710587
2022-06-15 08:36:00,20739320,26.67,53655.72935623804,34.15973082833912
2022-06-15 08:40:00,20739320,26.67,53663.829356238035,34.16553074773776
2022-06-15 08:44:00,20739320,26.7,53659.72935623804,34.140453802590386
2022-06-15 08:48:00,20739320,26.71,53645.52935623804,34.122920257375
2022-06-15 08:52:00,20739320,26.73,53641.42935623803,34.10525095938696
2022-06-15 08:56:00,20739320,26.75,53647.52935623804,34.09488517487075
2022-06-15 09:00:00,20739320,26.77,53651.62935623803,34.08309737907077
2022-06-15 09:04:00,20739320,26.78,53655.72935623804,34.07867078609581
2022-06-15 09:08:00,20739320,26.79,53647.52935623804,34.06546190238241
2022-06-15 09:12:00,20739320,26.82,53659.72935623804,34.05212881003119
2022-06-15 09:16:00,20739320,26.830000000000002,53661.72935623804,34.04621266904484
2022-06-15 09:20:00,20739320,26.85,53665.829356238035,34.03445778899698
2022-06-15 09:24:00,20739320,26.87,53653.62935623803,34.01109107598634
2022-06-15 09:28:00,20739320,26.88,53671.92935623803,34.016804907768865
2022-06-15 09:32:00,20739320,26.92,53649.62935623803,33.97162449595106
2022-06-15 09:36:00,20739320,26.92,53653.62935623803,33.974472748943754
2022-06-15 09:40:00,20739320,26.92,53676.02935623804,33.99042366662043
2022-06-15 09:44:00,20739320,26.92,53667.829356238035,33.9845843533886
2022-06-15 09:48:00,20739320,26.93,53684.12935623803,33.988871376107404
2022-06-15 09:52:00,20739320,26.94,53663.829356238035,33.96710390078075
2022-06-15 09:56:00,20739320,26.94,53659.72935623804,33.96418563417107
2022-06-15 10:00:00,20739320,26.94,53678.02935623804,33.97721137586391
2022-06-15 10:04:00,20739320,26.94,53651.62935623803,33.95842039523866
2022-06-15 10:08:00,20739320,26.95,53669.92935623803,33.964132748689856
2022-06-15 10:12:00,20739320,26.95,53655.72935623804,33.95402778110538
2022-06-15 10:16:00,20739320,26.96,53673.92935623803,33.95966827387184
2022-06-15 10:20:00,20739320,26.98,53635.42935623803,33.9176757519473
2022-06-15 10:24:00,20739320,26.98,53665.829356238035,33.93929370066766
2022-06-15 10:28:00,20739320,26.990000000000002,53643.52935623804,33.91613723094897
2022-06-15 10:32:00,20739320,27,53655.72935623804,33.91751326872633
2022-06-15 10:36:00,20739320,27.01,53651.62935623803,33.907304581157085
2022-06-15 10:40:00,20739320,27.05,53665.829356238035,33.88823589407982
2022-06-15 10:44:00,20739320,27.06,53673.92935623803,33.88670266668699
2022-06-15 10:48:00,20739320,27.1,53645.52935623804,33.83744703842113
2022-06-15 10:52:00,20739320,27.1,53661.72935623804,33.848936755840114
2022-06-15 10:56:00,20739320,27.11,53676.02935623804,33.85180745712827
2022-06-15 11:00:00,20739320,27.13,53645.52935623804,33.81565328437054
2022-06-15 11:04:00,20739320,27.15,53663.829356238035,33.81410204129504
2022-06-15 11:08:00,20739320,27.16,53655.72935623804,33.8011076647142
2022-06-15 11:12:00,20739320,27.17,53659.72935623804,33.796687170819155
2022-06-15 11:16:00,20739320,27.17,53676.02935623804,33.80823052673401
2022-06-15 11:20:00,20739320,27.21,53663.829356238035,33.770599168714355
2022-06-15 11:24:00,20739320,27.21,53663.829356238035,33.770599168714355
2022-06-15 11:28:00,20739320,27.23,53678.02935623804,33.76616204040916
2022-06-15 11:32:00,20739320,27.25,53655.72935623804,33.735923313607756
2022-06-15 11:36:00,20739320,27.27,53665.829356238035,33.728603234182536
2022-06-15 11:40:00,20739320,27.29,53678.02935623804,33.72277079453307
2022-06-15 11:44:00,20739320,27.28,53669.92935623803,33.724273671725456
2022-06-15 11:48:00,20739320,27.29,53655.72935623804,33.7070200801193
2022-06-15 11:52:00,20739320,27.3,53673.92935623803,33.71265268436878
2022-06-15 11:56:00,20739320,27.31,53649.62935623803,33.68827763043315
2022-06-15 12:00:00,20739320,27.31,53661.72935623804,33.69681990569008
2022-06-15 12:04:00,20739320,27.330000000000002,53657.72935623804,33.67956965854545
2022-06-15 12:08:00,20739320,27.34,53671.92935623803,33.682378894279786
2022-06-15 12:12:00,20739320,27.35,53676.02935623804,33.67806212346089
2022-06-15 12:16:00,20739320,27.38,53661.72935623804,33.64636872041358
2022-06-15 12:20:00,20739320,27.4,53671.92935623803,33.63916431259772
2022-06-15 12:24:00,20739320,27.45,53659.72935623804,33.59463641450765
2022-06-15 12:28:00,20739320,27.47,53596.829356238035,33.53603584299855
2022-06-15 12:32:00,20739320,27.81,53663.829356238035,33.34068055698699
2022-06-15 12:36:00,20739320,27.53,53619.12935623803,33.5087565000892
2022-06-15 12:40:00,20739320,27.5,53611.02935623804,33.52453356822476
2022-06-15 12:44:00,20739320,27.46,53607.02935623804,33.550378145611724
2022-06-15 12:48:00,20739320,27.59,53629.329356238035,33.473039938506496
2022-06-15 12:52:00,20739320,27.57,53617.12935623803,33.47876078493517
2022-06-15 12:56:00,20739320,27.52,53611.02935623804,33.51021958700233
2022-06-15 13:00:00,20739320,27.56,53625.22935623804,33.491591069622
2022-06-15 13:04:00,20739320,27.52,53586.72935623804,33.49314657931902
2022-06-15 13:08:00,20739320,27.580000000000002,53600.92935623803,33.4602520602865
